id, question_id,user_id,answer_id,created_at,updated_at,score
9,9,3,33,8/20/19 9:32,32:26.0,0
10,1,7,1,8/21/19 9:19,19:47.4,1
11,3,7,9,8/21/19 9:19,19:56.7,0
12,3,7,12,8/21/19 9:19,20:01.7,1
13,5,7,18,8/21/19 9:20,20:21.8,1
14,2,7,7,8/21/19 9:20,20:36.3,0
15,2,7,8,8/21/19 9:20,20:49.2,1
16,4,7,14,8/21/19 9:20,21:15.4,1
17,6,7,22,8/21/19 9:21,21:26.8,1
18,47,3,223,8/23/19 9:25,25:35.4,0
19,47,3,224,8/23/19 9:25,25:41.6,0
20,47,3,227,8/23/19 9:25,25:51.6,1
21,47,3,224,8/23/19 10:09,10:19.3,0
22,47,18,226,8/23/19 10:11,11:59.5,0
23,47,13,224,8/23/19 10:11,12:03.2,0
24,47,23,226,8/23/19 10:11,12:23.2,0
25,47,21,226,8/23/19 10:11,12:30.3,0
26,47,14,226,8/23/19 10:11,12:43.6,0
27,41,12,194,8/23/19 10:11,13:17.5,0
28,41,13,195,8/23/19 10:12,13:18.8,0
29,47,8,226,8/23/19 10:11,13:20.4,0
30,47,22,227,8/23/19 10:11,13:22.0,1
31,47,9,226,8/23/19 10:11,13:27.5,0
32,47,15,227,8/23/19 10:11,14:13.2,1
33,47,19,224,8/23/19 10:11,14:13.4,0
34,41,23,194,8/23/19 10:12,14:21.0,0
35,41,8,197,8/23/19 10:13,14:30.7,0
36,41,22,195,8/23/19 10:13,14:46.6,0
37,47,17,225,8/23/19 10:11,14:57.8,0
38,42,13,202,8/23/19 10:13,15:04.0,0
39,47,20,227,8/23/19 10:11,15:12.5,1
40,41,18,196,8/23/19 10:12,15:36.3,1
41,41,21,197,8/23/19 10:12,15:47.1,0
42,47,16,227,8/23/19 10:11,15:48.8,1
43,41,9,196,8/23/19 10:13,15:54.4,1
44,42,22,201,8/23/19 10:14,15:54.4,1
45,41,15,196,8/23/19 10:14,16:10.8,1
46,43,22,203,8/23/19 10:15,16:30.3,1
47,41,19,193,8/23/19 10:14,16:38.6,0
48,42,8,200,8/23/19 10:14,16:40.7,0
49,43,13,203,8/23/19 10:15,16:42.7,1
50,42,12,200,8/23/19 10:13,16:59.6,0
51,41,17,196,8/23/19 10:15,17:16.2,1
52,41,14,196,8/23/19 10:12,17:26.7,1
53,44,22,210,8/23/19 10:16,17:28.0,0
54,41,20,196,8/23/19 10:15,17:30.3,1
55,43,8,203,8/23/19 10:16,17:53.4,1
56,42,21,200,8/23/19 10:15,17:55.0,0
57,41,16,196,8/23/19 10:15,18:03.7,1
58,44,13,209,8/23/19 10:16,18:14.4,0
59,42,9,198,8/23/19 10:15,18:27.7,0
60,43,12,203,8/23/19 10:17,18:33.9,1
61,42,15,201,8/23/19 10:16,18:48.2,1
62,42,23,199,8/23/19 10:14,18:50.9,0
63,43,21,203,8/23/19 10:17,18:58.1,1
64,42,14,200,8/23/19 10:17,19:09.0,0
65,42,18,201,8/23/19 10:15,19:14.6,1
66,45,22,217,8/23/19 10:17,19:27.3,0
67,43,9,203,8/23/19 10:18,19:36.2,1
68,41,11,196,8/23/19 10:16,19:57.2,1
69,42,19,199,8/23/19 10:16,19:57.7,0
70,45,13,213,8/23/19 10:18,20:08.7,0
